/Users/bhumita/gosec-demo/docker-ce/components/engine/testutil/stringutils.go,11,Use of weak random number generator (math/rand instead of crypto/rand),HIGH,MEDIUM,"10: 	for i := range b {
11: 		b[i] = letters[rand.Intn(len(letters))] //nolint: gosec // G404: Use of weak random number generator (math/rand instead of crypto/rand)
12: 	}
",CWE-338
/Users/bhumita/gosec-demo/docker-ce/components/engine/pkg/namesgenerator/names-generator.go,849,Use of weak random number generator (math/rand instead of crypto/rand),HIGH,MEDIUM,"848: 	if retry > 0 {
849: 		name += strconv.Itoa(rand.Intn(10)) //nolint:gosec // G404: Use of weak random number generator (math/rand instead of crypto/rand)
850: 	}
",CWE-338
/Users/bhumita/gosec-demo/docker-ce/components/engine/pkg/namesgenerator/names-generator.go,843,Use of weak random number generator (math/rand instead of crypto/rand),HIGH,MEDIUM,"842: begin:
843: 	name := left[rand.Intn(len(left))] + ""_"" + right[rand.Intn(len(right))] //nolint:gosec // G404: Use of weak random number generator (math/rand instead of crypto/rand)
844: 	if name == ""boring_wozniak"" /* Steve Wozniak is not boring */ {
",CWE-338
/Users/bhumita/gosec-demo/docker-ce/components/engine/pkg/namesgenerator/names-generator.go,843,Use of weak random number generator (math/rand instead of crypto/rand),HIGH,MEDIUM,"842: begin:
843: 	name := left[rand.Intn(len(left))] + ""_"" + right[rand.Intn(len(right))] //nolint:gosec // G404: Use of weak random number generator (math/rand instead of crypto/rand)
844: 	if name == ""boring_wozniak"" /* Steve Wozniak is not boring */ {
",CWE-338
/Users/bhumita/gosec-demo/docker-ce/components/engine/libnetwork/resolver.go,217,Use of weak random number generator (math/rand instead of crypto/rand),HIGH,MEDIUM,"216: 	for i := len(addr) - 1; i > 0; i-- {
217: 		r := rand.Intn(i + 1) // nolint:gosec // gosec complains about the use of rand here. It should be fine.
218: 		addr[i], addr[r] = addr[r], addr[i]
",CWE-338
/Users/bhumita/gosec-demo/docker-ce/components/engine/libnetwork/networkdb/cluster.go,246,Use of weak random number generator (math/rand instead of crypto/rand),HIGH,MEDIUM,"245: 	// Use a random stagger to avoid synchronizing
246: 	randStagger := time.Duration(uint64(rnd.Int63()) % uint64(stagger)) //nolint:gosec // gosec complains about the use of rand here. It should be fine.
247: 	select {
",CWE-338
/Users/bhumita/gosec-demo/docker-ce/components/engine/daemon/logger/splunk/splunk.go,173,TLS MinVersion too low.,HIGH,HIGH,"172: 	// FIXME set minimum TLS version for splunk (see https://github.com/moby/moby/issues/42443)
173: 	tlsConfig := &tls.Config{} //nolint: gosec // G402: TLS MinVersion too low.
174: 
",CWE-295
/Users/bhumita/gosec-demo/docker-ce/components/cli/opts/opts.go,409,Potential uncontrolled memory consumption in Rat.SetString (CVE-2022-23772),HIGH,LOW,"408: func ParseCPUs(value string) (int64, error) {
409: 	cpu, ok := new(big.Rat).SetString(value)
410: 	if !ok {
",CWE-190
/Users/bhumita/gosec-demo/docker-ce/components/engine/daemon/logger/awslogs/cloudwatchlogs.go,67,Potential hardcoded credentials,HIGH,LOW,"66: 
67: 	credentialsEndpoint = ""http://169.254.170.2""
68: 
",CWE-798
/Users/bhumita/gosec-demo/docker-ce/components/engine/daemon/logger/awslogs/cloudwatchlogs.go,42,Potential hardcoded credentials,HIGH,LOW,"41: 	multilinePatternKey    = ""awslogs-multiline-pattern""
42: 	credentialsEndpointKey = ""awslogs-credentials-endpoint""
43: 	forceFlushIntervalKey  = ""awslogs-force-flush-interval-seconds""
",CWE-798
