vulnerability_id,vulnerability_source_id,vulnerability_created_at,vulnerability_updated_at,vulnerability_service_address,vulnerability_service_transport,vulnerability_service_port,vulnerability_cpe23,vulnerability_vuln_id,vulnerability_category,vulnerability_name,vulnerability_description,vulnerability_solution,vulnerability_cve,vulnerability_cvss2_base_score,vulnerability_cvss2_temporal_score,vulnerability_cvss3_base_score,vulnerability_cvss3_temporal_score,vulnerability_severity,vulnerability_severity_score,vulnerability_risk,vulnerability_risk_score,vulnerability_published_at,vulnerability_first_detected_at,vulnerability_last_detected_at,asset_id,organization,site,detected_by,type,os,os_version,hw,address,addresses_scope,addresses_extra,newest_mac,newest_mac_vendor,newest_mac_age,macs,mac_vendors,names,tags,domains,service_count,service_count_tcp,service_count_udp,service_count_arp,service_count_icmp,lowest_ttl,lowest_rtt,services,alive,first_seen_unix,first_seen_iso,last_updated_unix,last_updated_iso,last_seen_unix,last_seen_iso,comments,service_ports_tcp,service_ports_udp,service_protocols,service_products,last_agent_name,last_task_id
0a030a7f-1322-452a-b3c0-15f12d92f0f8,14,2023-01-23T04:46:33.000Z,2023-01-23T04:46:33.000Z,192.168.1.38,,0,,377590,Vulnerability,Microsoft Visual Studio Code Security Update for September 2022,Visual Studio Code is prone to Elevation of Privilege Vulnerability.,"Patch available, see vulnerability attributes for details.",CVE-2022-38020,0,0,0,0,Medium,0,Medium,0,2022-09-14T04:54:28.000Z,2022-09-30T18:49:00.000Z,2023-01-13T08:47:28.000Z,4522eeb3-45d7-47b6-8cad-93b7a24dc5d2,ArmorCode,Demotestfire,Qualys,Laptop,Apple macOS,,Apple MacBook Pro,192.168.1.38,192.168.1.38,,,,,,,MACBOOKPRO-F764 LINISHS-MACBOOK-PRO LINISHS-MACBOOK-PRO.LOCAL,Name=Windows-Server-DAST_Scan Owner=Abhinav_/_Linish_/_Ashish Purpose=For_running_DAST_scan Purpose2=For_Running_Fortify_SSC Windows-Server=Security_Team,,0,0,0,0,0,0,0,,false,1673600009,2023-01-13T08:53:29.000Z,1674449193,2023-01-23T04:46:33.000Z,1673600009,2023-01-13T08:53:29.000Z,,,,,,,80636466-d894-4dc6-90f0-a5528d6f8e7c
b12380c3-5b30-45db-83a8-684a88c95f0a,14,2023-01-23T04:46:33.000Z,2023-01-23T04:46:33.000Z,192.168.1.38,,0,,45427,Information Gathered,Zoom Video Conferencing Software Detected,"Zoom provides video communications with a cloud platform for video and audio conferencing, chat, and webinars across mobile, desktop, and room systems.",N/A,,0,0,0,0,Info,0,None,0,2020-04-03T11:10:43.000Z,2022-05-24T19:41:41.000Z,2023-01-13T08:47:28.000Z,4522eeb3-45d7-47b6-8cad-93b7a24dc5d2,ArmorCode,Demotestfire,Qualys,Laptop,Apple macOS,,Apple MacBook Pro,192.168.1.38,192.168.1.38,,,,,,,MACBOOKPRO-F764 LINISHS-MACBOOK-PRO LINISHS-MACBOOK-PRO.LOCAL,Name=Windows-Server-DAST_Scan Owner=Abhinav_/_Linish_/_Ashish Purpose=For_running_DAST_scan Purpose2=For_Running_Fortify_SSC Windows-Server=Security_Team,,0,0,0,0,0,0,0,,false,1673600009,2023-01-13T08:53:29.000Z,1674449193,2023-01-23T04:46:33.000Z,1673600009,2023-01-13T08:53:29.000Z,,,,,,,80636466-d894-4dc6-90f0-a5528d6f8e7c
51c80d14-bb66-441e-9b93-13ba181cff67,14,2023-01-23T04:46:33.000Z,2023-01-23T04:46:33.000Z,192.168.1.38,,0,,115562,Information Gathered,Identification Tag of Target Host,n/a,n/a,,0,0,0,0,Info,0,None,0,2007-06-05T07:00:00.000Z,2022-05-24T19:41:41.000Z,2023-01-13T08:47:28.000Z,4522eeb3-45d7-47b6-8cad-93b7a24dc5d2,ArmorCode,Demotestfire,Qualys,Laptop,Apple macOS,,Apple MacBook Pro,192.168.1.38,192.168.1.38,,,,,,,MACBOOKPRO-F764 LINISHS-MACBOOK-PRO LINISHS-MACBOOK-PRO.LOCAL,,,0,0,0,0,0,0,0,,false,1673600009,2023-01-13T08:53:29.000Z,1674449193,2023-01-23T04:46:33.000Z,1673600009,2023-01-13T08:53:29.000Z,,,,,,,80636466-d894-4dc6-90f0-a5528d6f8e7c
ade0d03d-14ac-48e9-ad49-7bea8a4cc298,14,2023-01-23T04:46:33.000Z,2023-01-23T04:46:33.000Z,192.168.1.38,,0,,376584,Vulnerability,Microsoft Visual Studio Code Remote Code Execution (RCE) Vulnerability for May 2022,Visual Studio Code is prone to Remote Code Execution,"Patch available, see vulnerability attributes for details.",CVE-2022-30129,0,0,0,0,High,0,High,0,2022-05-11T02:43:20.000Z,2022-05-24T19:41:41.000Z,2023-01-13T08:47:28.000Z,4522eeb3-45d7-47b6-8cad-93b7a24dc5d2,ArmorCode,Demotestfire,Qualys,Laptop,Apple macOS,,Apple MacBook Pro,192.168.1.38,192.168.1.38,,,,,,,MACBOOKPRO-F764 LINISHS-MACBOOK-PRO LINISHS-MACBOOK-PRO.LOCAL,,,0,0,0,0,0,0,0,,false,1673600009,2023-01-13T08:53:29.000Z,1674449193,2023-01-23T04:46:33.000Z,1673600009,2023-01-13T08:53:29.000Z,,,,,,,80636466-d894-4dc6-90f0-a5528d6f8e7c
dd79b15f-7561-4b4b-9f7e-885e92eda42d,14,2023-01-23T04:46:33.000Z,2023-01-23T04:46:33.000Z,192.168.1.38,,0,,45388,Information Gathered,TCP Ports in Listening Mode,"This QID executes netstat, ss commands to list tcp ports in listening mode.",This QID shows only Active Internet connections (only servers).,,0,0,0,0,Info,0,None,0,2020-02-04T10:14:42.000Z,2022-05-24T19:41:41.000Z,2023-01-13T08:47:28.000Z,4522eeb3-45d7-47b6-8cad-93b7a24dc5d2,ArmorCode,Demotestfire,Qualys,Laptop,Apple macOS,,Apple MacBook Pro,192.168.1.38,192.168.1.38,,,,,,,MACBOOKPRO-F764 LINISHS-MACBOOK-PRO LINISHS-MACBOOK-PRO.LOCAL,,,0,0,0,0,0,0,0,,false,1673600009,2023-01-13T08:53:29.000Z,1674449193,2023-01-23T04:46:33.000Z,1673600009,2023-01-13T08:53:29.000Z,,,,,,,80636466-d894-4dc6-90f0-a5528d6f8e7c
28e071a8-ee79-4417-a8f8-1b5775da63bd,14,2023-01-23T04:46:33.000Z,2023-01-23T04:46:33.000Z,192.168.1.38,,0,,45436,Information Gathered,Apple MacOS File Vault Status Information,FileVault to encrypt the information on your Mac. FileVault encodes the data on your startup disk so that unauthorised users can not access your information.,,,0,0,0,0,Info,0,None,0,2021-05-05T14:04:31.000Z,2022-05-24T19:41:41.000Z,2023-01-13T08:47:28.000Z,4522eeb3-45d7-47b6-8cad-93b7a24dc5d2,ArmorCode,Demotestfire,Qualys,Laptop,Apple macOS,,Apple MacBook Pro,192.168.1.38,192.168.1.38,,,,,,,MACBOOKPRO-F764 LINISHS-MACBOOK-PRO LINISHS-MACBOOK-PRO.LOCAL,,,0,0,0,0,0,0,0,,false,1673600009,2023-01-13T08:53:29.000Z,1674449193,2023-01-23T04:46:33.000Z,1673600009,2023-01-13T08:53:29.000Z,,,,,,,80636466-d894-4dc6-90f0-a5528d6f8e7c
cdf04e03-1729-4ece-9a78-b0a16befc3e1,14,2023-01-23T04:46:33.000Z,2023-01-23T04:46:33.000Z,192.168.1.38,,0,,45542,Information Gathered,Apple MacOS with Apple Silicon Detected,Apple Silicon is a series of ARM-based system-on-a-chips designed by Apple Inc. as a central processing unit and graphics processing unit.,NA,,0,0,0,0,Info,0,None,0,2022-07-14T12:41:54.000Z,2022-07-15T12:03:38.000Z,2023-01-13T08:47:28.000Z,4522eeb3-45d7-47b6-8cad-93b7a24dc5d2,ArmorCode,Demotestfire,Qualys,Laptop,Apple macOS,,Apple MacBook Pro,192.168.1.38,192.168.1.38,,,,,,,MACBOOKPRO-F764 LINISHS-MACBOOK-PRO LINISHS-MACBOOK-PRO.LOCAL,,,0,0,0,0,0,0,0,,false,1673600009,2023-01-13T08:53:29.000Z,1674449193,2023-01-23T04:46:33.000Z,1673600009,2023-01-13T08:53:29.000Z,,,,,,,80636466-d894-4dc6-90f0-a5528d6f8e7c
0bfc1edc-e331-4f9c-b9cd-06c1a2bd3988,14,2023-01-23T04:46:33.000Z,2023-01-23T04:46:33.000Z,192.168.1.38,,0,,105145,Vulnerability,Promiscuous Mode Interface(s) Found,Malicious users can snoop legitimate clear text sessions on the network.,Manually set the interface/device to unpromiscuous mode unless it's necessary and authorized.,,0,0,0,0,Low,0,Low,0,2005-03-15T08:00:00.000Z,2022-05-24T19:41:41.000Z,2023-01-13T08:47:28.000Z,4522eeb3-45d7-47b6-8cad-93b7a24dc5d2,ArmorCode,Demotestfire,Qualys,Laptop,Apple macOS,,Apple MacBook Pro,192.168.1.38,192.168.1.38,,,,,,,MACBOOKPRO-F764 LINISHS-MACBOOK-PRO LINISHS-MACBOOK-PRO.LOCAL,,,0,0,0,0,0,0,0,,false,1673600009,2023-01-13T08:53:29.000Z,1674449193,2023-01-23T04:46:33.000Z,1673600009,2023-01-13T08:53:29.000Z,,,,,,,80636466-d894-4dc6-90f0-a5528d6f8e7c
2cc6ca6e-e442-42bd-9ba9-e31131213382,14,2023-01-23T04:46:33.000Z,2023-01-23T04:46:33.000Z,192.168.1.38,,0,,105155,Information Gathered,User Home Directory With Non-Restrictive Permissions,"Unauthorised users can have read, write or execute access.",Change the directory permissions by issuing the following command:,,0,0,0,0,Medium,0,Medium,0,2005-03-23T17:13:04.000Z,2022-05-24T19:41:41.000Z,2023-01-13T08:47:28.000Z,4522eeb3-45d7-47b6-8cad-93b7a24dc5d2,ArmorCode,Demotestfire,Qualys,Laptop,Apple macOS,,Apple MacBook Pro,192.168.1.38,192.168.1.38,,,,,,,MACBOOKPRO-F764 LINISHS-MACBOOK-PRO LINISHS-MACBOOK-PRO.LOCAL,,,0,0,0,0,0,0,0,,false,1673600009,2023-01-13T08:53:29.000Z,1674449193,2023-01-23T04:46:33.000Z,1673600009,2023-01-13T08:53:29.000Z,,,,,,,80636466-d894-4dc6-90f0-a5528d6f8e7c
2e0fe851-7c2f-4c2d-9f74-366825b7e3b9,14,2023-01-23T04:46:33.000Z,2023-01-23T04:46:33.000Z,192.168.1.38,,0,,115041,Information Gathered,Unix Environment Variables,The result section shows environment variables on the target machine.,,,0,0,0,0,Info,0,None,0,2004-12-16T02:30:49.000Z,2022-05-24T19:41:41.000Z,2023-01-13T08:47:28.000Z,4522eeb3-45d7-47b6-8cad-93b7a24dc5d2,ArmorCode,Demotestfire,Qualys,Laptop,Apple macOS,,Apple MacBook Pro,192.168.1.38,192.168.1.38,,,,,,,MACBOOKPRO-F764 LINISHS-MACBOOK-PRO LINISHS-MACBOOK-PRO.LOCAL,,,0,0,0,0,0,0,0,,false,1673600009,2023-01-13T08:53:29.000Z,1674449193,2023-01-23T04:46:33.000Z,1673600009,2023-01-13T08:53:29.000Z,,,,,,,80636466-d894-4dc6-90f0-a5528d6f8e7c
